Código do Município,Município ,População,Óbitos Maternos,Nascidos Vivos,Mortalidade Materna,Total de Consultas Pré-Natal
241290,São Tomé ,9.972,0,89,"0,0",89
241300,São Vicente ,6.310,0,68,"0,0",68
241310,Senador Elói de Souza ,5.965,0,83,"0,0",83
241320,Senador Georgino Avelino ,4.065,0,56,"0,0",56
241030,Serra Caiada ,10.125,0,118,"0,0",118
241330,Serra de São Bento ,5.703,0,56,"0,0",56
241335,Serra do Mel ,13.091,0,222,"0,0",222
241340,Serra Negra do Norte ,7.597,0,58,"0,0",58
241350,Serrinha ,6.436,0,91,"0,0",91
241355,Serrinha dos Pintos ,4.659,0,32,"0,0",32
241360,Severiano Melo ,5.487,1,60,"1666,7",60
241370,Sítio Novo ,4.654,0,50,"0,0",50
241380,Taboleiro Grande ,2.338,0,22,"0,0",22
241390,Taipu ,11.422,0,132,"0,0",132
241400,Tangará ,13.281,0,166,"0,0",166
241410,Tenente Ananias ,10.262,0,128,"0,0",128
241415,Tenente Laurentino Cruz ,5.891,0,83,"0,0",83
241105,Tibau ,5.382,0,80,"0,0",80
241420,Tibau do Sul ,16.929,0,215,"0,0",215
241430,Timbaúba dos Batistas ,2.348,0,13,"0,0",13
241440,Touros ,33.035,0,440,"0,0",440
241445,Triunfo Potiguar ,3.376,0,62,"0,0",62
241450,Umarizal ,10.078,0,81,"0,0",81
241460,Upanema ,13.577,0,122,"0,0",122
241470,Várzea ,5.233,0,43,"0,0",43
241475,Venha-Ver ,3.014,0,36,"0,0",36
241480,Vera Cruz ,10.735,0,144,"0,0",144
241490,Viçosa ,1.822,0,15,"0,0",15
241500,Vila Flor ,3.174,0,57,"0,0",57
